User Name,Nickname,Favs,Rts,Favs+RTs,Tweet content,Hour,Date (YYYY-MM-DD),Date (DD-MM-YYYY),Time Code (UTC)
Lily Marston,lily_marston,52,3,55,Reunited with this beautiful man tonight ❤️ #fundevils @ The Belmont Los Angeles https://t.co/rNmojtWSUV,02:53:54,2016-04-16,16-04-2016,2016-04-16T02:53:54Z
Last Pirate in LA,BONNIELYNN2015,21,34,55,"#sandstorm #artMovement  #Bonnielynnart  #desert #sand #storm #travelNurse @ Salton Sea, CA https://t.co/h21Fw1IOw9",16:56:07,2016-04-15,15-04-2016,2016-04-15T16:56:07Z
Raúl Ramos,pelonramos,44,10,54,"Pues vamos a ver a MS (@ Arena Monterrey - @arenamtyoficial in Monterrey, NL) https://t.co/vAl1UV6Pjk https://t.co/MTtRMlMJgl",03:06:10,2016-04-16,16-04-2016,2016-04-16T03:06:10Z
MANUEL MEDRANO,Manuelmdrano,48,5,53,"Demasiado increíble @ Foro Sol, Mexico D.F. https://t.co/FoSNkKTAaM",07:37:55,2016-04-16,16-04-2016,2016-04-16T07:37:55Z
Scott Clifton,CliftonsNotes,47,6,53,The view to my right on the drive home from work. #MulhollandDrive #ScenicRoute @ Mullholland View https://t.co/GyXZLHu0nY,19:57:47,2016-04-15,15-04-2016,2016-04-15T19:57:47Z
Michel'le,Michellemuzic,39,14,53,"Hello, casting has begone,plz join me on this adventure.send pics,give ur thoughts on who could play the parts 😘 https://t.co/t6WLteFndL",01:32:06,2016-04-16,16-04-2016,2016-04-16T01:32:06Z
Timothy Sykes,timothysykes,48,5,53,Good morning! Today is my birthday so not only am I giving a free https://t.co/GldnFfINgF… https://t.co/xrofDcxOIF,12:47:36,2016-04-15,15-04-2016,2016-04-15T12:47:36Z
Max Ehrich,maxehrich,35,18,53,"Comment on this insta for a follow back on insta 😏 @ Los Angeles, California https://t.co/M7VRH0uOi1",18:54:32,2016-04-14,14-04-2016,2016-04-14T18:54:32Z
Luis Alfonso,Luiselyaki,41,11,52,Un poco de ejercicio antes de nuestra presentación esta noche en #LaTequileriaSatelite por allá… https://t.co/K1jxw7USxW,02:41:10,2016-04-16,16-04-2016,2016-04-16T02:41:10Z
Heida Reed,ReedHeida,47,5,52,"LA gives me road rage but a lot of sun lovin 🌞💋❤️ @ Burbank, California https://t.co/Rv8TGQsUIf",00:24:49,2016-04-16,16-04-2016,2016-04-16T00:24:49Z
Max Ehrich,maxehrich,37,15,52,"Tag yourself on this insta post if you're so ready for the WEEKEND! @ Los Angeles, California https://t.co/p7KujFLpoH",18:59:18,2016-04-14,14-04-2016,2016-04-14T18:59:18Z
Carleigh Bettiol,cmbettiol,44,7,51,VINYL. #hamilton #broadway #record #vinyl #ded @hamiltonmusical @atlanticrecords 😳😳😳😳😳 @… https://t.co/jR64Uh0XI1,23:49:41,2016-04-15,15-04-2016,2016-04-15T23:49:41Z
Shaun Tai,shaun_tai,12,38,50,CONGRATS Top 14 #InspireOakland 2016 #Designers completing #rigorous #competition and… https://t.co/9vihF21KE8,01:19:25,2016-04-16,16-04-2016,2016-04-16T01:19:25Z
Adelaine M♡RIN,AdelaineMorin,41,9,50,"| Little bottle of sunshine🌞
#NYXCosmetics #Coachella @ Coachella Valley Music &amp; Arts Festival https://t.co/dcrdbDhZiA",07:59:32,2016-04-16,16-04-2016,2016-04-16T07:59:32Z
Brett Bartholomew,Coach_BrettB,35,15,50,"Deceleration is KEY in field sports. Yet it's training is so often neglected.

Depending on the… https://t.co/YtWrjr7Fyd",22:05:41,2016-04-14,14-04-2016,2016-04-14T22:05:41Z
